dataset,noise_type,noise_rate,method,accuracy,macro_f1,macro_precision,macro_recall,total_time_sec,method_time_sec,train_time_sec,epochs_ran,n_train_input,n_train_selected
covertype,shift,0.24,cleancore,0.8240781377737619,0.7232333394800341,0.7685873066648587,0.6953399279700323,105.36197416856885,104.91720381379128,81.75678385421634,123.0,464807.0,23238.0
covertype,shift,0.24,gradmatch,0.7953444344047158,0.653412242622058,0.7375589790311577,0.6260800232221578,43.14561181515455,42.74880864098668,38.7263929694891,180.0,464807.0,12240.0
covertype,shift,0.24,deem,0.6781894066520373,0.46573487174321954,0.5219909487163178,0.4672617365605954,317.9523950256407,317.544166110456,22.55924716964364,52.0,464807.0,23240.0
covertype,shift,0.30,cleancore,0.813631082999871,0.7167914578310263,0.7631245461340418,0.6879952893782172,111.46309357881546,111.02285908907652,81.43945436924696,126.0,464807.0,23239.0
covertype,shift,0.30,gradmatch,0.7878920872595844,0.6217848538526811,0.7239096648643859,0.585558759314454,39.626350432634354,39.239918790757656,35.56227735057473,161.0,464807.0,12240.0
covertype,shift,0.30,deem,0.6802375112946947,0.46367819589625,0.5541454683528044,0.455930957592262,322.3027046136558,321.8991372510791,22.445969600230455,52.0,464807.0,23240.0
magic,random,0.06,cleancore,0.8604467805519054,0.8433204520567352,0.8533141270976153,0.8359438762062816,4.53071628510952,4.507990676909685,3.313712816685438,241.0,15215.0,1522.0
magic,random,0.06,gradmatch,0.8394218134034166,0.8166868717930522,0.8345324849425435,0.8058774932244643,1.7927200943231583,1.7682087235152721,1.3421845361590385,85.0,15215.0,300.0
magic,random,0.06,deem,0.8409986859395532,0.8154388902914775,0.8433846245267674,0.8011079583840022,1.7417204938828945,1.7239498533308506,1.0074042975902557,53.0,15215.0,1522.0
magic,random,0.12,cleancore,0.8488830486202366,0.8247496191410624,0.8528056872037915,0.8100955027892849,3.694323517382145,3.6721292808651924,2.7638909965753555,197.0,15215.0,1522.0
magic,random,0.12,gradmatch,0.8304862023653088,0.79839943497873,0.842049385613044,0.7808587556038664,1.7231014743447304,1.684360358864069,1.2695749439299107,87.0,15215.0,300.0
magic,random,0.12,deem,0.8412614980289094,0.8124658913170064,0.8526464414234306,0.7949830134456439,1.7532356902956963,1.7355041205883026,0.9856193475425243,53.0,15215.0,1522.0
magic,random,0.18,cleancore,0.8454664914586071,0.8259894461565456,0.8369470870245521,0.8182347798109939,2.80475577712059,2.782816980034113,1.9847316294908524,130.0,15215.0,1522.0
magic,random,0.18,gradmatch,0.8176084099868594,0.7941286992858703,0.8051957078892757,0.7866612074601481,1.5983407944440842,1.5742384791374207,1.1541156955063343,119.0,15215.0,300.0
magic,random,0.18,deem,0.8307490144546649,0.8009131402104727,0.8366781979675992,0.784994816480381,1.7107617184519768,1.692735280841589,0.9969628266990185,53.0,15215.0,1522.0
magic,random,0.24,cleancore,0.8386333771353482,0.81439614217392,0.8365028508780813,0.802020148773981,2.7717975936830044,2.749711588025093,1.9903735257685184,128.0,15215.0,1522.0
magic,random,0.24,gradmatch,0.8223390275952693,0.7890774703925509,0.8302775619721225,0.7725236197023431,1.5850566364824772,1.5664566680788994,1.2465608082711697,151.0,15215.0,300.0
magic,random,0.24,deem,0.8226018396846255,0.7883868708610977,0.8331007592705882,0.7711871441442588,1.8564512953162193,1.829952646046877,1.0817173048853874,53.0,15215.0,1522.0
magic,random,0.30,cleancore,0.8204993429697766,0.7934028245648888,0.8145793860414292,0.7818789486089324,3.1541909612715244,3.1317367516458035,2.309533942490816,164.0,15215.0,1522.0
magic,random,0.30,gradmatch,0.81419185282523,0.7854818533533445,0.8079163472186728,0.7737654225613676,1.403865497559309,1.385327510535717,1.1054052747786045,120.0,15215.0,300.0
